"Ticker","Nome","Negócios","Última (R$)","Variação"
"ARML3","Armac","891.800","3,78","-1,82%"
"DESK3","Desktop","881.500","16,15","+2,93%"
"CAML3","Camil Alimentos","873.800","5,60","-2,44%"
"VVEO3","Viveo","849.000","1,34","-4,29%"
"SEER3","Ser Educacional","809.700","10,42","-0,76%"
"SYNE3","SYN","808.500","4,92","+0,41%"
"RCSL4","Recrusul","799.300","2,17","+2,36%"
"AZEV3","Azevedo & Travassos","724.300","0,33","+0,00%"
"TOKY3","TOKY3","722.600","1,00","-0,99%"
"RANI3","Irani","704.700","8,65","-1,82%"
"MDNE3","Moura Dubeux","698.100","29,45","-1,07%"
"KLBN3","Klabin","690.800","3,68","-1,60%"
"TTEN3","3tentos","672.300","15,83","-2,10%"
"POSI3","Positivo","658.900","4,06","-1,93%"
"JSLG3","JSL","622.300","5,45","-3,02%"
"EVEN3","Even","617.900","7,53","+0,94%"
"MDIA3","M. Dias Branco","584.300","29,31","-0,61%"
"TASA4","Taurus","575.200","4,64","-4,92%"
"PRNR3","Priner","573.300","15,00","-1,12%"
"ESPA3","Espaçolaser","557.500","1,17","-0,85%"
"POMO3","Marcopolo","524.200","6,38","-3,04%"
"BMGB4","Banco BMG","513.100","4,10","+0,00%"
"SEQL3","Sequoia Logística","506.400","0,84","-4,55%"
"ABCB4","Banco ABC Brasil","487.800","23,16","-0,86%"
"TFCO4","Track & Field","486.800","17,95","-0,66%"
"ALUP11","Alupar","482.900","34,05","+0,53%"
"BMOB3","Bemobi","463.700","23,60","+0,43%"
"ENJU3","Enjoei","440.300","0,90","+1,12%"
"WIZC3","Wiz Soluções","418.300","8,36","-0,71%"
"ITUB3","Itaú Unibanco","406.400","35,80","+0,14%"
"GFSA3","Gafisa","393.800","6,05","-0,49%"
"LEVE3","Mahle Metal Leve","370.700","30,27","-0,79%"
"AMAR3","Lojas Marisa","363.500","1,12","-1,75%"
"CSED3","Cruzeiro do Sul Educacional","349.100","5,58","-3,79%"
"VLID3","Valid","348.300","22,48","+0,67%"
"HBRE3","HBR Realty","337.100","4,48","-3,66%"
"SHUL4","Schulz","334.500","4,80","-0,62%"
"MTRE3","Mitre Realty","330.900","3,66","-0,81%"
"LOGG3","LOG CP","304.800","24,67","-0,72%"
"TGMA3","Tegma","300.200","36,73","-0,19%"
"SOJA3","Boa Safra Sementes","296.700","10,33","-2,18%"
"SAPR3","Sanepar","288.000","7,30","+0,55%"
"CMIG3","Cemig","275.700","14,30","-2,39%"
"BLAU3","Blau Farmacêutica","268.300","12,50","-0,24%"
"ALLD3","Allied","266.500","10,14","-1,55%"
"PINE4","Banco Pine","243.900","9,65","+0,84%"
"BRBI11","BR Partners","243.300","19,22","+1,96%"
"UNIP6","Unipar","241.900","65,96","-2,11%"
"PDGR3","PDG Realty","238.200","0,01","+0,00%"
"PMAM3","Paranapanema","227.500","1,08","-1,82%"
"TRIS3","Trisul","227.000","7,55","-1,18%"
"PNVL3","Dimed","222.700","9,61","+0,00%"
"MATD3","Mater Dei","212.200","4,21","-0,94%"
"OPCT3","OceanPact","209.900","7,64","-0,39%"
"TAEE4","Taesa","186.100","13,45","+1,20%"
"MELK3","Melnick","163.400","3,85","-1,03%"
"VITT3","Vittia","158.200","4,55","-3,40%"
"LPSB3","Lopes","157.400","1,26","-4,55%"
"ALPK3","Estapar","155.100","4,00","-2,91%"
"ROMI3","Indústrias ROMI","143.300","7,98","-2,33%"
"PFRM3","Profarma","136.500","8,04","-3,48%"
"AGRO3","BrasilAgro","115.000","19,95","-2,25%"
"BRST3","Brisanet","114.700","3,06","+2,00%"
"SANB4","Banco Santander","104.700","16,75","-0,42%"
"RCSL3","Recrusul","103.000","2,04","-3,77%"
"BIOM3","Biomm","100.600","7,40","-1,33%"
"GOAU3","Metalúrgica Gerdau","99.700","11,08","-0,63%"
"TAEE3","Taesa","98.900","13,35","+1,52%"
"AERI3","Aeris Energy","95.800","4,06","-1,69%"
"SANB3","Banco Santander","85.100","15,37","-1,85%"
"PDTC3","Padtec","80.900","1,05","+1,94%"
"RNEW4","Renova Energia","80.600","0,95","+0,00%"
"DMVF3","D1000 Varejo Farma","78.100","4,83","-3,21%"
"DEXP3","Dexxos","75.100","7,86","-1,63%"
"ETER3","Eternit","72.100","4,16","-1,42%"
"ZAMP3","Zamp","69.800","3,37","+2,12%"
"MNPR3","Minupar","62.300","5,78","+15,83%"
"MEAL3","IMC Alimentação","61.300","1,32","+0,76%"
"TASA3","Taurus","49.900","5,23","-4,39%"
"TCSA3","Tecnisa","41.700","1,28","-3,03%"
"GGBR3","Gerdau","41.600","16,55","-0,78%"
"CAMB3","Cambuci","34.500","9,21","-3,05%"
"AALR3","Alliança","34.200","5,60","-1,41%"
"COCE5","Coelce","33.900","30,00","+2,74%"
"LUPA3","Lupatech","31.700","0,90","+0,00%"
"LOGN3","Log-In","29.600","33,80","+1,23%"
"CSUD3","CSU Cardsystem","28.200","18,00","+0,11%"
"EUCA4","Eucatex","27.900","17,71","-1,61%"
"PTNT4","Pettenati","26.000","5,20","+8,56%"
"FICT3","Fictor Alimentos","25.600","2,99","-0,99%"
"AMOB3","Automob","24.700","13,05","-2,54%"
"SHOW3","Time For Fun","22.400","5,78","-2,36%"
"BRAP3","Bradespar","22.100","17,46","+0,11%"
"LAND3","Terra Santa","22.100","7,86","+3,01%"
"UNIP3","Unipar","21.700","58,34","-1,45%"
"INEP3","Inepar","20.400","1,24","+1,64%"
"UCAS3","Unicasa","19.300","1,20","+0,00%"
"RPMG3","Refinaria de Manguinhos","16.200","2,09","-4,13%"
"BMEB4","Banco Mercantil do Brasil","16.000","58,50","-0,39%"
"LUXM4","Trevisa","16.000","3,22","-5,01%"
"VIVR3","Viver","15.400","0,79","-1,25%"
"BRKM3","Braskem","13.600","7,21","+0,28%"
"ENGI4","Energisa","13.200","9,79","-0,91%"
"NGRD3","Neogrid","12.600","25,50","+1,23%"
"DOTZ3","Dotz","12.500","7,15","-4,28%"
"TRAD3","Traders Club","12.300","6,04","+0,67%"
"AGXY3","AgroGalaxy","12.300","5,62","-0,18%"
